Column Distance (cm),Permeability Reduction (-)
0.22944550669216404, 0.0004699879474520117
4.24474187380497, 0.0014094558954281116
5.162523900573616, 0.002154434690031882
5.965583173996177, 0.004333675298130791
7.2275334608030635, 0.007694472676564554
8.030592734225625, 0.031133283922208592
10.095602294455068, 0.48488288651213746
14.225621414913956, 0.4971380045388129
20.191204588910136, 0.5920490977039856
26.156787762906305, 0.7988017808015702
35.79349904397705, 0.7411714795000641
51.8546845124283, 0.43880990568194145
