Column Distance (cm),Permeability Reduction (-)
3.212237093690251, 0.0006665737984243579
5.0478011472275375, 0.000969281367780852
8.030592734225625, 0.0015574421500915022
9.636711281070747, 0.002321954250288981
11.35755258126195, 0.002835140107092879
12.045889101338437, 0.004443206287458757
14.225621414913956, 0.006624272833163962
16.061185468451242, 0.021410327291200532
20.191204588910136, 0.19742082112913073
26.386233269598467, 0.999999999999999
36.022944550669216, 0.7599041347699093
52.08413001912045, 0.42799265345759074
