Column Distance (cm),Permeability Reduction (-)
5.054095826893357, 0.0008698603620446734
12.318392581143744, 0.0026092384005131086
14.09582689335394, 0.003720850336999124
16.182380216383308, 0.005773881812370071
18.19165378670788, 0.005972371151198345
20.27820710973725, 0.007695529938906554
22.210200927357036, 0.010256735930016882
24.37403400309119, 0.012776797695703853
26.306027820710977, 0.015387071197116426
28.16074188562597, 0.017914760609615017
30.324574961360124, 0.02469792971926102
32.2565687789799, 0.07042168656806365
35.965996908809885, 0.4368848376058426
51.962905718701684, 0.5261395117371328
