R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0
R2	0.0516	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2
R3	0.0516	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4
R4	0.0516	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6
R5	0.0516	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8
R6	0.0516	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10
R7	0.0516	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12
R8	0.0516	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14
R9	0.0516	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16
R10	0.0516	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18
R11	0.0516	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20
R12	0.0516	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22
R13	0.0516	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24
R14	0.0516	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26
R15	0.0516	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28
R16	0.0516	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30
R17	0.0516	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32
R18	0.0516	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34
R19	0.0516	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36
R20	0.0516	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38
R21	0.0516	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40
R22	0.0516	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42
R23	0.0516	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44
R24	0.0516	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46
R25	0.0516	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48
R26	0.0516	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50
R27	0.0516	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52
R28	0.0516	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54
R29	0.0516	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56
R30	0.0516	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58
R31	0.0516	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60
R32	0.0516	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62
R33	0.0516	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64
R34	0.0516	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66
R35	0.0516	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68
R36	0.0516	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70
R37	0.0516	-72	0.3099	-72	0.31	-72	0.31	-72	0.31	-72	0.31	-72	0.31	-72
R38	0.0516	-74	0.3099	-74	0.31	-74	0.31	-74	0.31	-74	0.31	-74	0.31	-74
R39	0.0516	-76	0.3098	-76	0.31	-76	0.31	-76	0.31	-76	0.31	-76	0.31	-76
R40	0.0516	-78	0.3097	-78	0.31	-78	0.31	-78	0.31	-78	0.31	-78	0.31	-78
R41	0.0516	-80	0.3096	-80	0.31	-80	0.31	-80	0.31	-80	0.31	-80	0.31	-80
R42	0.0516	-82	0.3095	-82	0.31	-82	0.31	-82	0.31	-82	0.31	-82	0.31	-82
R43	0.0516	-84	0.3094	-84	0.31	-84	0.31	-84	0.31	-84	0.31	-84	0.31	-84
R44	0.0516	-86	0.3092	-86	0.31	-86	0.31	-86	0.31	-86	0.31	-86	0.31	-86
R45	0.0516	-88	0.309	-88	0.31	-88	0.31	-88	0.31	-88	0.31	-88	0.31	-88
R46	0.0516	-90	0.3087	-90	0.31	-90	0.31	-90	0.31	-90	0.31	-90	0.31	-90
R47	0.0516	-92	0.3084	-92	0.31	-92	0.31	-92	0.31	-92	0.31	-92	0.31	-92
R48	0.0516	-94	0.3081	-94	0.31	-94	0.31	-94	0.31	-94	0.31	-94	0.31	-94
R49	0.0516	-96	0.3077	-96	0.31	-96	0.31	-96	0.31	-96	0.31	-96	0.31	-96
R50	0.0516	-98	0.3073	-98	0.31	-98	0.31	-98	0.31	-98	0.31	-98	0.31	-98
R51	0.0516	-100	0.3068	-100	0.31	-100	0.31	-100	0.31	-100	0.31	-100	0.31	-100
R52	0.0516	-102	0.3062	-102	0.31	-102	0.31	-102	0.31	-102	0.31	-102	0.31	-102
R53	0.0516	-104	0.3055	-104	0.31	-104	0.31	-104	0.31	-104	0.31	-104	0.31	-104
R54	0.0516	-106	0.3047	-106	0.31	-106	0.31	-106	0.31	-106	0.31	-106	0.31	-106
R55	0.0516	-108	0.3037	-108	0.31	-108	0.31	-108	0.31	-108	0.31	-108	0.31	-108
R56	0.0516	-110	0.3028	-110	0.31	-110	0.31	-110	0.31	-110	0.31	-110	0.31	-110
R57	0.0516	-112	0.3015	-112	0.31	-112	0.31	-112	0.31	-112	0.31	-112	0.31	-112
R58	0.0516	-114	0.3	-114	0.31	-114	0.31	-114	0.31	-114	0.31	-114	0.31	-114
R59	0.0516	-116	0.2985	-116	0.31	-116	0.31	-116	0.31	-116	0.31	-116	0.31	-116
R60	0.0516	-118	0.2964	-118	0.31	-118	0.31	-118	0.31	-118	0.31	-118	0.31	-118
R61	0.0516	-120	0.2942	-120	0.31	-120	0.31	-120	0.31	-120	0.31	-120	0.31	-120
R62	0.0516	-122	0.2917	-122	0.31	-122	0.31	-122	0.31	-122	0.31	-122	0.31	-122
R63	0.0516	-124	0.2883	-124	0.31	-124	0.31	-124	0.31	-124	0.31	-124	0.31	-124
R64	0.0516	-126	0.2847	-126	0.31	-126	0.31	-126	0.31	-126	0.31	-126	0.31	-126
R65	0.0516	-128	0.2803	-128	0.3099	-128	0.31	-128	0.31	-128	0.31	-128	0.31	-128
R66	0.0516	-130	0.2748	-130	0.3099	-130	0.31	-130	0.31	-130	0.31	-130	0.31	-130
R67	0.0516	-132	0.2685	-132	0.3099	-132	0.31	-132	0.31	-132	0.31	-132	0.31	-132
R68	0.0516	-134	0.2605	-134	0.3099	-134	0.31	-134	0.31	-134	0.31	-134	0.31	-134
R69	0.0516	-136	0.2507	-136	0.3098	-136	0.31	-136	0.31	-136	0.31	-136	0.31	-136
R70	0.0516	-138	0.2383	-138	0.3098	-138	0.31	-138	0.31	-138	0.31	-138	0.31	-138
R71	0.0516	-140	0.2224	-140	0.3097	-140	0.31	-140	0.31	-140	0.31	-140	0.31	-140
R72	0.0516	-142	0.2012	-142	0.3097	-142	0.31	-142	0.31	-142	0.31	-142	0.31	-142
R73	0.0516	-144	0.173	-144	0.3096	-144	0.31	-144	0.31	-144	0.31	-144	0.31	-144
R74	0.0516	-146	0.1352	-146	0.3095	-146	0.31	-146	0.31	-146	0.31	-146	0.31	-146
R75	0.0516	-148	0.0902	-148	0.3094	-148	0.31	-148	0.31	-148	0.31	-148	0.31	-148
R76	0.0516	-150	0.058	-150	0.3093	-150	0.31	-150	0.31	-150	0.31	-150	0.31	-150
R77	0.0516	-152	0.0519	-152	0.3092	-152	0.31	-152	0.31	-152	0.31	-152	0.31	-152
R78	0.0516	-154	0.0516	-154	0.3091	-154	0.31	-154	0.31	-154	0.31	-154	0.31	-154
R79	0.0516	-156	0.0516	-156	0.309	-156	0.31	-156	0.31	-156	0.31	-156	0.31	-156
R80	0.0516	-158	0.0516	-158	0.3088	-158	0.31	-158	0.31	-158	0.31	-158	0.31	-158
R81	0.0516	-160	0.0516	-160	0.3086	-160	0.31	-160	0.31	-160	0.31	-160	0.31	-160
R82	0.0516	-162	0.0516	-162	0.3085	-162	0.31	-162	0.31	-162	0.31	-162	0.31	-162
R83	0.0516	-164	0.0516	-164	0.3083	-164	0.31	-164	0.31	-164	0.31	-164	0.31	-164
R84	0.0516	-166	0.0516	-166	0.308	-166	0.31	-166	0.31	-166	0.31	-166	0.31	-166
R85	0.0516	-168	0.0516	-168	0.3077	-168	0.31	-168	0.31	-168	0.31	-168	0.31	-168
R86	0.0516	-170	0.0516	-170	0.3074	-170	0.31	-170	0.31	-170	0.31	-170	0.31	-170
R87	0.0516	-172	0.0516	-172	0.3071	-172	0.31	-172	0.31	-172	0.31	-172	0.31	-172
R88	0.0516	-174	0.0516	-174	0.3067	-174	0.31	-174	0.31	-174	0.31	-174	0.31	-174
R89	0.0516	-176	0.0516	-176	0.3063	-176	0.31	-176	0.31	-176	0.31	-176	0.31	-176
R90	0.0516	-178	0.0516	-178	0.3059	-178	0.31	-178	0.31	-178	0.31	-178	0.31	-178
R91	0.0516	-180	0.0516	-180	0.3054	-180	0.31	-180	0.31	-180	0.31	-180	0.31	-180
R92	0.0516	-182	0.0516	-182	0.3048	-182	0.31	-182	0.31	-182	0.31	-182	0.31	-182
R93	0.0516	-184	0.0516	-184	0.3041	-184	0.31	-184	0.31	-184	0.31	-184	0.31	-184
R94	0.0516	-186	0.0516	-186	0.3034	-186	0.3099	-186	0.31	-186	0.31	-186	0.31	-186
R95	0.0516	-188	0.0516	-188	0.3027	-188	0.3099	-188	0.31	-188	0.31	-188	0.31	-188
