R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0
R2	2.093e-005	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2
R3	2.093e-005	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4
R4	2.093e-005	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6
R5	2.093e-005	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8
R6	2.093e-005	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10
R7	2.093e-005	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12
R8	2.093e-005	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14
R9	2.093e-005	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16
R10	2.093e-005	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18
R11	2.093e-005	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20
R12	2.093e-005	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22
R13	2.093e-005	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24
R14	2.093e-005	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26
R15	2.093e-005	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28
R16	2.093e-005	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30
R17	2.093e-005	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32
R18	2.093e-005	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34
R19	2.093e-005	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36
R20	2.093e-005	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38
R21	2.093e-005	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40
R22	2.093e-005	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42
R23	2.093e-005	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44
R24	2.093e-005	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46
R25	2.093e-005	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48
R26	2.093e-005	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50
R27	2.093e-005	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52
R28	2.093e-005	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54
R29	2.093e-005	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56
R30	2.093e-005	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58
R31	2.093e-005	-60	0.17	-60	0.17	-60	0.17	-60	0.17	-60	0.17	-60	0.17	-60
R32	2.093e-005	-62	0.17	-62	0.17	-62	0.17	-62	0.17	-62	0.17	-62	0.17	-62
