R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	25	0	25	0	25	0	25	0	25	0	25	0	25	0
R2	-500	-2	24.2	-2	24.558	-2	24.696	-2	24.77	-2	24.816	-2	24.847	-2
R3	-500	-4	23.401	-4	24.116	-4	24.392	-4	24.54	-4	24.631	-4	24.693	-4
R4	-500	-6	22.601	-6	23.673	-6	24.088	-6	24.31	-6	24.447	-6	24.54	-6
R5	-500	-8	21.801	-8	23.231	-8	23.785	-8	24.079	-8	24.262	-8	24.386	-8
R6	-500	-10	21.001	-10	22.789	-10	23.481	-10	23.849	-10	24.078	-10	24.233	-10
R7	-500	-12	20.202	-12	22.347	-12	23.177	-12	23.619	-12	23.893	-12	24.079	-12
R8	-500	-14	19.402	-14	21.905	-14	22.873	-14	23.389	-14	23.709	-14	23.926	-14
R9	-500	-16	18.602	-16	21.463	-16	22.569	-16	23.159	-16	23.524	-16	23.772	-16
R10	-500	-18	17.802	-18	21.02	-18	22.265	-18	22.929	-18	23.34	-18	23.619	-18
R11	-500	-20	17.003	-20	20.578	-20	21.961	-20	22.698	-20	23.155	-20	23.465	-20
R12	-500	-22	16.203	-22	20.136	-22	21.658	-22	22.468	-22	22.971	-22	23.312	-22
R13	-500	-24	15.403	-24	19.694	-24	21.354	-24	22.238	-24	22.786	-24	23.158	-24
R14	-500	-26	14.603	-26	19.252	-26	21.05	-26	22.008	-26	22.602	-26	23.005	-26
R15	-500	-28	13.804	-28	18.809	-28	20.746	-28	21.778	-28	22.417	-28	22.851	-28
R16	-500	-30	13.004	-30	18.367	-30	20.442	-30	21.548	-30	22.233	-30	22.698	-30
R17	-500	-32	12.204	-32	17.925	-32	20.138	-32	21.318	-32	22.048	-32	22.545	-32
R18	-500	-34	11.404	-34	17.483	-34	19.834	-34	21.087	-34	21.864	-34	22.391	-34
R19	-500	-36	10.605	-36	17.041	-36	19.531	-36	20.857	-36	21.68	-36	22.238	-36
R20	-500	-38	9.805	-38	16.599	-38	19.227	-38	20.627	-38	21.495	-38	22.084	-38
