# Time[s], Head[m]
19200,2.50E-01
19260,2.48E-01
19320,2.45E-01
19380,2.44E-01
19440,2.42E-01
19500,2.40E-01
19560,2.38E-01
19620,2.36E-01
19680,2.34E-01
19740,2.32E-01
19800,2.30E-01
19860,2.28E-01
19920,2.26E-01
19980,2.24E-01
20040,2.22E-01
20100,2.21E-01
20160,2.19E-01
20220,2.17E-01
20280,2.15E-01
20340,2.14E-01
20400,2.11E-01
20460,2.10E-01
20520,2.08E-01
20580,2.06E-01
20640,2.05E-01
20700,2.03E-01
20760,2.01E-01
20820,1.99E-01
20880,1.97E-01
20940,1.96E-01
21000,1.94E-01
21060,1.92E-01
21120,1.91E-01
21180,1.89E-01
21240,1.87E-01
21300,1.86E-01
21360,1.84E-01
21420,1.82E-01
21480,1.81E-01
21540,1.79E-01
21600,1.78E-01
21660,1.76E-01
21720,1.75E-01
21780,1.73E-01
21840,1.71E-01
21900,1.70E-01
21960,1.69E-01
22020,1.67E-01
22080,1.65E-01
22140,1.63E-01
22200,1.62E-01
22260,1.61E-01
22320,1.59E-01
22380,1.57E-01
22440,1.55E-01
22500,1.53E-01
22560,1.52E-01
22620,1.49E-01
22680,1.47E-01
22740,1.46E-01
22800,1.45E-01
22860,1.43E-01
22920,1.42E-01
22980,1.41E-01
23040,1.39E-01
23100,1.38E-01
23160,1.36E-01
23220,1.34E-01
23280,1.33E-01
23340,1.31E-01
23400,1.30E-01
23460,1.28E-01
23520,1.27E-01
23580,1.26E-01
23640,1.24E-01
23700,1.22E-01
23760,1.20E-01
23820,1.19E-01
23880,1.16E-01
23940,1.14E-01
24000,1.12E-01
24060,1.10E-01
24120,1.08E-01
24180,1.06E-01
24240,1.05E-01
24300,1.02E-01
24360,1.01E-01
24420,9.88E-02
24480,9.72E-02
24540,9.48E-02
24600,9.25E-02
24660,8.98E-02
24720,8.73E-02
24780,8.38E-02
24840,5.23E-02
24900,2.90E-02
24960,1.52E-02
25020,5.00E-03
25080,5.00E-03
25140,5.00E-03
25200,5.00E-03
25260,5.00E-03
25320,5.00E-03
25380,5.00E-03
25440,5.00E-03
25500,5.00E-03
25560,5.00E-03
25620,5.00E-03
25680,5.00E-03
25740,5.00E-03
25800,5.00E-03
25860,5.00E-03
25920,5.00E-03
25980,5.00E-03
26040,5.00E-03
26100,5.00E-03
26160,5.00E-03
26220,5.00E-03
26280,5.60E-03
26340,5.70E-03
26400,5.70E-03
26460,5.60E-03
26520,5.90E-03
26580,5.60E-03
26640,5.70E-03
26700,5.70E-03
26760,5.60E-03
26820,5.50E-03
26880,5.60E-03
26940,5.60E-03
27000,5.30E-03
27060,5.50E-03
27120,5.30E-03
27180,5.60E-03
27240,5.70E-03
27300,5.90E-03
27360,5.60E-03
27420,5.90E-03
27480,5.70E-03
27540,5.70E-03
27600,5.90E-03
27660,5.70E-03
27720,5.70E-03
27780,5.90E-03
27840,5.70E-03
27900,5.70E-03
27960,5.60E-03
28020,2.44E-02
28080,5.67E-02
28140,6.34E-02
28200,6.51E-02
28260,6.72E-02
28320,7.04E-02
28380,7.45E-02
28440,7.94E-02
28500,8.65E-02
28560,9.64E-02
28620,1.04E-01
28680,1.12E-01
28740,1.17E-01
