R,C1,C2,C3,C4,C5,C6,C7,C8
R262,-600,-522,-247.924,-522,-106.249,-522,-92.808,-522
R263,-600,-524,-209.673,-524,-102.178,-524,-89.854,-524
R264,-600,-526,-183.562,-526,-98.262,-526,-86.975,-526
R265,-600,-528,-164.256,-528,-94.487,-528,-84.159,-528
R266,-600,-530,-149.163,-530,-90.873,-530,-81.395,-530
R267,-600,-532,-137.107,-532,-87.414,-532,-78.676,-532
R268,-600,-534,-127.094,-534,-84.075,-534,-75.996,-534
R269,-600,-536,-118.319,-536,-80.835,-536,-73.359,-536
R270,-600,-538,-110.687,-538,-77.677,-538,-70.768,-538
R271,-600,-540,-103.946,-540,-74.595,-540,-68.215,-540
R272,-600,-542,-97.768,-542,-71.594,-542,-65.697,-542
R273,-600,-544,-92.086,-544,-68.67,-544,-63.208,-544
R274,-600,-546,-86.878,-546,-65.81,-546,-60.745,-546
R275,-600,-548,-82.036,-548,-63.004,-548,-58.308,-548
R276,-600,-550,-77.464,-550,-60.245,-550,-55.896,-550
R277,-600,-552,-73.131,-552,-57.533,-552,-53.509,-552
R278,-600,-554,-69.032,-554,-54.867,-554,-51.142,-554
R279,-600,-556,-65.127,-556,-52.243,-556,-48.794,-556
R280,-600,-558,-61.376,-558,-49.653,-558,-46.463,-558
R281,-600,-560,-57.761,-560,-47.095,-560,-44.149,-560
R282,-600,-562,-54.277,-562,-44.568,-562,-41.852,-562
R283,-600,-564,-50.905,-564,-42.071,-564,-39.568,-564
R284,-600,-566,-47.627,-566,-39.598,-566,-37.297,-566
R285,-600,-568,-44.434,-568,-37.149,-568,-35.039,-568
R286,-600,-570,-41.322,-570,-34.722,-570,-32.792,-570
R287,-600,-572,-38.278,-572,-32.315,-572,-30.556,-572
R288,-600,-574,-35.295,-574,-29.927,-574,-28.33,-574
R289,-600,-576,-32.369,-576,-27.555,-576,-26.113,-576
R290,-600,-578,-29.492,-578,-25.199,-578,-23.904,-578
R291,-600,-580,-26.661,-580,-22.857,-580,-21.703,-580
R292,-600,-582,-23.87,-582,-20.529,-582,-19.509,-582
R293,-600,-584,-21.116,-584,-18.212,-584,-17.322,-584
R294,-600,-586,-18.394,-586,-15.907,-586,-15.14,-586
R295,-600,-588,-15.702,-588,-13.612,-588,-12.965,-588
R296,-600,-590,-13.036,-590,-11.326,-590,-10.794,-590
R297,-600,-592,-10.393,-592,-9.048,-592,-8.628,-592
R298,-600,-594,-7.771,-594,-6.777,-594,-6.466,-594
R299,-600,-596,-5.167,-596,-4.513,-596,-4.308,-596
R300,-600,-598,-2.578,-598,-2.254,-598,-2.153,-598
R301,0,-600,0,-600,0,-600,0,-600
