R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0
R2	0.001669	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2
R3	0.001669	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4
R4	0.001669	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6
R5	0.001669	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8
R6	0.001669	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10
R7	0.001669	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12
R8	0.001669	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14
R9	0.001669	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16
R10	0.001669	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18
R11	0.001669	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20
R12	0.001669	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22
R13	0.001669	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24
R14	0.001669	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26
R15	0.001669	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28
R16	0.001669	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30
R17	0.001669	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32
R18	0.001669	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34
R19	0.001669	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36
R20	0.001669	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38
R21	0.001669	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40
R22	0.001669	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42
R23	0.001669	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44
R24	0.001669	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46
R25	0.001669	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48
R26	0.001669	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50
R27	0.001669	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52
R28	0.001669	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54
R29	0.001669	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56
