R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0
R2	0.1319	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2
R3	0.1319	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4
R4	0.1319	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6
R5	0.1319	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8
R6	0.1319	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10
R7	0.1319	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12
R8	0.1319	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14
R9	0.1319	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16
R10	0.1319	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18
R11	0.1319	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20
R12	0.1319	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22
R13	0.1319	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24
R14	0.1319	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26
R15	0.1319	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28
R16	0.1319	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30
R17	0.1319	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32
R18	0.1319	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34
R19	0.1319	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36
R20	0.1319	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38
R21	0.1319	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40
R22	0.1319	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42	0.31	-42
R23	0.1319	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44	0.31	-44
R24	0.1319	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46	0.31	-46
R25	0.1319	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48	0.31	-48
R26	0.1319	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50	0.31	-50
R27	0.1319	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52	0.31	-52
R28	0.1319	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54	0.31	-54
R29	0.1319	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56	0.31	-56
R30	0.1319	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58	0.31	-58
R31	0.1319	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60	0.31	-60
R32	0.1319	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62	0.31	-62
R33	0.1319	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64	0.31	-64
R34	0.1319	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66	0.31	-66
R35	0.1319	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68	0.31	-68
R36	0.1319	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70	0.31	-70
R37	0.1319	-72	0.31	-72	0.31	-72	0.31	-72	0.31	-72	0.31	-72	0.31	-72
R38	0.1319	-74	0.31	-74	0.31	-74	0.31	-74	0.31	-74	0.31	-74	0.31	-74
R39	0.1319	-76	0.31	-76	0.31	-76	0.31	-76	0.31	-76	0.31	-76	0.31	-76
R40	0.1319	-78	0.31	-78	0.31	-78	0.31	-78	0.31	-78	0.31	-78	0.31	-78
R41	0.1319	-80	0.31	-80	0.31	-80	0.31	-80	0.31	-80	0.31	-80	0.31	-80
R42	0.1319	-82	0.31	-82	0.31	-82	0.31	-82	0.31	-82	0.31	-82	0.31	-82
R43	0.1319	-84	0.31	-84	0.31	-84	0.31	-84	0.31	-84	0.31	-84	0.31	-84
R44	0.1319	-86	0.31	-86	0.31	-86	0.31	-86	0.31	-86	0.31	-86	0.31	-86
R45	0.1319	-88	0.31	-88	0.31	-88	0.31	-88	0.31	-88	0.31	-88	0.31	-88
R46	0.1319	-90	0.31	-90	0.31	-90	0.31	-90	0.31	-90	0.31	-90	0.31	-90
R47	0.1319	-92	0.31	-92	0.31	-92	0.31	-92	0.31	-92	0.31	-92	0.31	-92
R48	0.1319	-94	0.31	-94	0.31	-94	0.31	-94	0.31	-94	0.31	-94	0.31	-94
R49	0.1319	-96	0.3099	-96	0.31	-96	0.31	-96	0.31	-96	0.31	-96	0.31	-96
R50	0.1319	-98	0.3099	-98	0.31	-98	0.31	-98	0.31	-98	0.31	-98	0.31	-98
R51	0.1319	-100	0.3099	-100	0.31	-100	0.31	-100	0.31	-100	0.31	-100	0.31	-100
R52	0.1319	-102	0.3098	-102	0.31	-102	0.31	-102	0.31	-102	0.31	-102	0.31	-102
R53	0.1319	-104	0.3098	-104	0.31	-104	0.31	-104	0.31	-104	0.31	-104	0.31	-104
R54	0.1319	-106	0.3097	-106	0.31	-106	0.31	-106	0.31	-106	0.31	-106	0.31	-106
R55	0.1319	-108	0.3096	-108	0.31	-108	0.31	-108	0.31	-108	0.31	-108	0.31	-108
R56	0.1319	-110	0.3095	-110	0.31	-110	0.31	-110	0.31	-110	0.31	-110	0.31	-110
R57	0.1319	-112	0.3094	-112	0.31	-112	0.31	-112	0.31	-112	0.31	-112	0.31	-112
R58	0.1319	-114	0.3093	-114	0.31	-114	0.31	-114	0.31	-114	0.31	-114	0.31	-114
R59	0.1319	-116	0.3091	-116	0.31	-116	0.31	-116	0.31	-116	0.31	-116	0.31	-116
R60	0.1319	-118	0.309	-118	0.31	-118	0.31	-118	0.31	-118	0.31	-118	0.31	-118
R61	0.1319	-120	0.3088	-120	0.31	-120	0.31	-120	0.31	-120	0.31	-120	0.31	-120
R62	0.1319	-122	0.3085	-122	0.31	-122	0.31	-122	0.31	-122	0.31	-122	0.31	-122
R63	0.1319	-124	0.3083	-124	0.31	-124	0.31	-124	0.31	-124	0.31	-124	0.31	-124
R64	0.1319	-126	0.308	-126	0.31	-126	0.31	-126	0.31	-126	0.31	-126	0.31	-126
R65	0.1319	-128	0.3077	-128	0.31	-128	0.31	-128	0.31	-128	0.31	-128	0.31	-128
R66	0.1319	-130	0.3073	-130	0.31	-130	0.31	-130	0.31	-130	0.31	-130	0.31	-130
R67	0.1319	-132	0.3069	-132	0.31	-132	0.31	-132	0.31	-132	0.31	-132	0.31	-132
R68	0.1319	-134	0.3065	-134	0.31	-134	0.31	-134	0.31	-134	0.31	-134	0.31	-134
R69	0.1319	-136	0.306	-136	0.31	-136	0.31	-136	0.31	-136	0.31	-136	0.31	-136
R70	0.1319	-138	0.3054	-138	0.31	-138	0.31	-138	0.31	-138	0.31	-138	0.31	-138
R71	0.1319	-140	0.3047	-140	0.31	-140	0.31	-140	0.31	-140	0.31	-140	0.31	-140
R72	0.1319	-142	0.3039	-142	0.31	-142	0.31	-142	0.31	-142	0.31	-142	0.31	-142
R73	0.1319	-144	0.3031	-144	0.31	-144	0.31	-144	0.31	-144	0.31	-144	0.31	-144
R74	0.1319	-146	0.3022	-146	0.31	-146	0.31	-146	0.31	-146	0.31	-146	0.31	-146
R75	0.1319	-148	0.3011	-148	0.31	-148	0.31	-148	0.31	-148	0.31	-148	0.31	-148
