R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	25	0	25	0	25	0	25	0	25	0	25	0	25	0
R2	-200	-2	24.408	-2	24.683	-2	24.785	-2	24.839	-2	24.875	-2	25	-2
R3	-200	-4	23.816	-4	24.365	-4	24.571	-4	24.678	-4	24.749	-4	25	-4
R4	-200	-6	23.224	-6	24.048	-6	24.356	-6	24.518	-6	24.624	-6	25	-6
R5	-200	-8	22.632	-8	23.73	-8	24.142	-8	24.357	-8	24.498	-8	25	-8
R6	-200	-10	22.04	-10	23.413	-10	23.927	-10	24.196	-10	24.373	-10	25	-10
R7	-200	-12	21.447	-12	23.095	-12	23.713	-12	24.035	-12	24.247	-12	25	-12
R8	-200	-14	20.855	-14	22.778	-14	23.498	-14	23.874	-14	24.122	-14	25	-14
R9	-200	-16	20.263	-16	22.461	-16	23.284	-16	23.713	-16	23.997	-16	25	-16
R10	-200	-18	19.671	-18	22.143	-18	23.069	-18	23.553	-18	23.871	-18	25	-18
R11	-200	-20	19.079	-20	21.826	-20	22.855	-20	23.392	-20	23.746	-20	25	-20
R12	-200	-22	18.487	-22	21.508	-22	22.64	-22	23.231	-22	23.62	-22	25	-22
R13	-200	-24	17.895	-24	21.191	-24	22.426	-24	23.07	-24	23.495	-24	25	-24
R14	-200	-26	17.303	-26	20.874	-26	22.211	-26	22.909	-26	23.369	-26	25	-26
R15	-200	-28	16.711	-28	20.556	-28	21.997	-28	22.749	-28	23.244	-28	25	-28
R16	-200	-30	16.119	-30	20.239	-30	21.782	-30	22.588	-30	23.119	-30	25	-30
R17	-200	-32	15.526	-32	19.921	-32	21.568	-32	22.427	-32	22.993	-32	25	-32
R18	-200	-34	14.934	-34	19.604	-34	21.353	-34	22.266	-34	22.868	-34	25	-34
R19	-200	-36	14.342	-36	19.286	-36	21.139	-36	22.105	-36	22.742	-36	25	-36
R20	-200	-38	13.75	-38	18.969	-38	20.924	-38	21.945	-38	22.617	-38	25	-38
R21	-200	-40	13.158	-40	18.652	-40	20.71	-40	21.784	-40	22.491	-40	25	-40
R22	-200	-42	12.566	-42	18.334	-42	20.495	-42	21.623	-42	22.366	-42	25	-42
R23	-200	-44	11.974	-44	18.017	-44	20.281	-44	21.462	-44	22.241	-44	25	-44
R24	-200	-46	11.382	-46	17.699	-46	20.066	-46	21.301	-46	22.115	-46	25	-46
R25	-200	-48	10.79	-48	17.382	-48	19.852	-48	21.14	-48	21.99	-48	25	-48
R26	-200	-50	10.198	-50	17.064	-50	19.637	-50	20.98	-50	21.864	-50	25	-50
R27	-200	-52	9.605	-52	16.747	-52	19.423	-52	20.819	-52	21.739	-52	25	-52
R28	-200	-54	9.013	-54	16.43	-54	19.208	-54	20.658	-54	21.613	-54	25	-54
R29	-200	-56	8.421	-56	16.112	-56	18.994	-56	20.497	-56	21.488	-56	25	-56
R30	-200	-58	7.829	-58	15.795	-58	18.779	-58	20.336	-58	21.362	-58	25	-58
R31	-200	-60	7.237	-60	15.477	-60	18.565	-60	20.176	-60	21.237	-60	25	-60
R32	-200	-62	6.645	-62	15.16	-62	18.35	-62	20.015	-62	21.112	-62	25	-62
R33	-200	-64	6.053	-64	14.843	-64	18.136	-64	19.854	-64	20.986	-64	25	-64
R34	-200	-66	5.461	-66	14.525	-66	17.921	-66	19.693	-66	20.861	-66	25	-66
R35	-200	-68	4.869	-68	14.208	-68	17.707	-68	19.532	-68	20.735	-68	25	-68
R36	-200	-70	4.277	-70	13.89	-70	17.492	-70	19.372	-70	20.61	-70	25	-70
R37	-200	-72	3.684	-72	13.573	-72	17.278	-72	19.211	-72	20.484	-72	25	-72
R38	-200	-74	3.092	-74	13.255	-74	17.063	-74	19.05	-74	20.359	-74	25	-74
R39	-200	-76	2.5	-76	12.938	-76	16.849	-76	18.889	-76	20.234	-76	25	-76
R40	-200	-78	1.908	-78	12.621	-78	16.634	-78	18.728	-78	20.108	-78	25	-78
R41	-200	-80	1.316	-80	12.303	-80	16.42	-80	18.567	-80	19.983	-80	25	-80
R42	-200	-82	0.724	-82	11.986	-82	16.205	-82	18.407	-82	19.857	-82	25	-82
R43	-200	-84	0.132	-84	11.668	-84	15.991	-84	18.246	-84	19.732	-84	25	-84
R44	-200	-86	-0.462	-86	11.351	-86	15.776	-86	18.085	-86	19.606	-86	25	-86
R45	-200	-88	-1.063	-88	11.033	-88	15.562	-88	17.924	-88	19.481	-88	25	-88
R46	-200	-90	-1.673	-90	10.716	-90	15.347	-90	17.763	-90	19.356	-90	25	-90
R47	-200	-92	-2.293	-92	10.399	-92	15.133	-92	17.603	-92	19.23	-92	25	-92
R48	-200	-94	-2.926	-94	10.081	-94	14.918	-94	17.442	-94	19.105	-94	25	-94
R49	-200	-96	-3.572	-96	9.764	-96	14.704	-96	17.281	-96	18.979	-96	25	-96
R50	-200	-98	-4.233	-98	9.446	-98	14.489	-98	17.12	-98	18.854	-98	25	-98
R51	-200	-100	-4.91	-100	9.129	-100	14.275	-100	16.959	-100	18.728	-100	25	-100
