"BAP","DOC","EPS","NH4","NO3","O2","POCr","U:0","U:1","U:2","XAR","XDN","XI","XN","h","n","perm","rDN","rH","rN","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00081921,0.00064758,0.00010834,1.6511e-05,0.0012978,0.0052162,0.00029213,-3.8888e-10,-7.5925e-09,-2.8664e-26,9.6255e-08,0.00018387,1.1516e-05,6.4766e-06,-1.1838e-05,0.35788,1.0185e-11,4.062e-06,2.7993e-06,1.8896e-06,31,1,0.1125,0.002,-0.0875,0.145
0.00086954,0.00067493,0.00011268,1.7352e-05,0.0013416,0.0053681,0.0002952,-4.2197e-10,-8.4566e-09,-1.8648e-26,1.1603e-07,0.00019091,1.1896e-05,6.584e-06,-1.1639e-05,0.35787,1.0185e-11,4.0958e-06,2.9715e-06,1.9875e-06,31,1,0.115,0.002,-0.085,0.145
0.00092307,0.00070333,0.00011671,1.8248e-05,0.0013866,0.0055216,0.00029653,-4.5659e-10,-9.4371e-09,-9.4873e-27,1.4375e-07,0.00019726,1.2252e-05,6.7106e-06,-1.1414e-05,0.35787,1.0184e-11,4.1277e-06,3.1521e-06,2.0914e-06,30,1,0.1175,0.002,-0.0825,0.145
0.00097938,0.00073248,0.00012042,1.9192e-05,0.0014324,0.0056757,0.00029661,-4.9209e-10,-1.0531e-08,-6.7833e-27,1.818e-07,0.00020288,1.2586e-05,6.8571e-06,-1.1164e-05,0.35786,1.0184e-11,4.1577e-06,3.3394e-06,2.2005e-06,29,1,0.12,0.002,-0.08,0.145
0.0010385,0.00076223,0.00012375,2.0188e-05,0.001479,0.0058303,0.00029564,-5.2794e-10,-1.1753e-08,-1.2968e-27,2.3491e-07,0.00020763,1.2897e-05,7.0274e-06,-1.0886e-05,0.35786,1.0183e-11,4.1854e-06,3.5324e-06,2.3152e-06,28,1,0.1225,0.002,-0.0775,0.145
0.0011004,0.00079235,0.0001267,2.1239e-05,0.0015262,0.0059847,0.00029382,-5.6343e-10,-1.3117e-08,3.0004e-27,3.1018e-07,0.00021144,1.3187e-05,7.2259e-06,-1.0576e-05,0.35786,1.0183e-11,4.2105e-06,3.7302e-06,2.4357e-06,27,1,0.125,0.002,-0.075,0.145
0.0011652,0.00082258,0.00012926,2.2348e-05,0.001574,0.0061385,0.00029136,-5.9761e-10,-1.4643e-08,-7.0348e-28,4.1825e-07,0.00021423,1.3463e-05,7.4581e-06,-1.0232e-05,0.35785,1.0183e-11,4.2325e-06,3.9315e-06,2.5624e-06,26,1,0.1275,0.002,-0.0725,0.145
0.0012327,0.00085261,0.00013149,2.3519e-05,0.001622,0.006291,0.00028844,-6.2921e-10,-1.6349e-08,-3.2144e-27,5.7487e-07,0.00021595,1.3738e-05,7.7309e-06,-9.8491e-06,0.35785,1.0182e-11,4.2511e-06,4.1347e-06,2.6955e-06,25,1,0.13,0.002,-0.07,0.145
0.0013032,0.00088191,0.00013348,2.4765e-05,0.0016701,0.0064412,0.00028521,-6.5564e-10,-1.8291e-08,1.9762e-26,8.2048e-07,0.00021645,1.4038e-05,8.0607e-06,-9.416e-06,0.35785,1.0182e-11,4.2653e-06,4.3377e-06,2.8365e-06,25,1,0.1325,0.002,-0.0675,0.145
0.0013763,0.00090999,0.00013549,2.6086e-05,0.0017179,0.0065884,0.00028184,-6.7423e-10,-2.0487e-08,5.4614e-26,1.2044e-06,0.00021586,1.4405e-05,8.4577e-06,-8.9295e-06,0.35785,1.0182e-11,4.275e-06,4.5374e-06,2.9851e-06,24,1,0.135,0.002,-0.065,0.145
0.0014515,0.00093644,0.00013783,2.7484e-05,0.0017651,0.006732,0.00027845,-6.82e-10,-2.2957e-08,2.9234e-26,1.7932e-06,0.0002143,1.4888e-05,8.9336e-06,-8.3859e-06,0.35785,1.0182e-11,4.2801e-06,4.7314e-06,3.1414e-06,23,1,0.1375,0.002,-0.0625,0.145
0.0015286,0.00096077,0.00014091,2.8964e-05,0.0018114,0.006871,0.0002751,-6.7478e-10,-2.5738e-08,-2.4768e-26,2.688e-06,0.00021186,1.5556e-05,9.5064e-06,-7.7782e-06,0.35785,1.0182e-11,4.2804e-06,4.9173e-06,3.3059e-06,22,1,0.14,0.002,-0.06,0.145
0.0016072,0.00098254,0.00014524,3.0532e-05,0.0018565,0.0070048,0.00027183,-6.4728e-10,-2.8873e-08,-1.6864e-26,4.025e-06,0.00020864,1.6498e-05,1.0199e-05,-7.0981e-06,0.35785,1.0182e-11,4.2758e-06,5.0922e-06,3.479e-06,21,1,0.1425,0.002,-0.0575,0.145
0.0016866,0.0010013,0.00015148,3.2195e-05,0.0018999,0.0071325,0.00026867,-5.928e-10,-3.2411e-08,4.3021e-26,5.9767e-06,0.00020476,1.7823e-05,1.1041e-05,-6.3366e-06,0.35784,1.0181e-11,4.2662e-06,5.2536e-06,3.6613e-06,20,1,0.145,0.002,-0.055,0.145
0.0017665,0.0010167,0.00016038,3.3959e-05,0.0019414,0.0072534,0.00026563,-5.028e-10,-3.641e-08,1.6365e-26,8.7486e-06,0.00020036,1.9658e-05,1.2068e-05,-5.483e-06,0.35784,1.0181e-11,4.2516e-06,5.3993e-06,3.8533e-06,19,1,0.1475,0.002,-0.0525,0.145
0.001846,0.0010285,0.0001728,3.5834e-05,0.0019805,0.0073666,0.00026271,-3.6655e-10,-4.0933e-08,-9.2881e-26,1.2567e-05,0.00019558,2.2142e-05,1.3328e-05,-4.5253e-06,0.35783,1.018e-11,4.2322e-06,5.5272e-06,4.0558e-06,18,1,0.15,0.002,-0.05,0.145
0.0019242,0.0010363,0.00018993,3.7838e-05,0.0020168,0.0074711,0.00025989,-1.6589e-10,-4.6098e-08,-9.1584e-28,1.7749e-05,0.00019057,2.5482e-05,1.4902e-05,-3.4419e-06,0.35782,1.0179e-11,4.208e-06,5.6348e-06,4.2703e-06,18,1,0.1525,0.002,-0.0475,0.145
0.0020002,0.00104,0.00021296,3.9991e-05,0.0020498,0.0075662,0.00025714,1.214e-10,-5.2018e-08,1.2111e-25,2.4554e-05,0.00018552,2.9868e-05,1.6892e-05,-2.212e-06,0.35781,1.0178e-11,4.1795e-06,5.7212e-06,4.4985e-06,17,1,0.155,0.002,-0.045,0.145
0.002073,0.0010401,0.00024255,4.2303e-05,0.0020795,0.0076521,0.00025443,5.1387e-10,-5.8753e-08,1.4542e-25,3.3074e-05,0.00018059,3.5406e-05,1.9388e-05,-8.255e-07,0.3578,1.0176e-11,4.1477e-06,5.7885e-06,4.7411e-06,16,1,0.1575,0.002,-0.0425,0.145
