R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R2	3.664e-005	-2	0	-2	0	-2	0	-2	0	-2	0	-2	0	-2
R3	3.664e-005	-4	0	-4	0	-4	0	-4	0	-4	0	-4	0	-4
R4	3.664e-005	-6	0	-6	0	-6	0	-6	0	-6	0	-6	0	-6
R5	3.664e-005	-8	0	-8	0	-8	0	-8	0	-8	0	-8	0	-8
R6	3.664e-005	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10
R7	3.664e-005	-12	0	-12	0	-12	0	-12	0	-12	0	-12	0	-12
R8	3.664e-005	-14	0	-14	0	-14	0	-14	0	-14	0	-14	0	-14
R9	3.664e-005	-16	0	-16	0	-16	0	-16	0	-16	0	-16	0	-16
R10	3.664e-005	-18	0	-18	0	-18	0	-18	0	-18	0	-18	0	-18
R11	3.664e-005	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20
R12	3.664e-005	-22	0	-22	0	-22	0	-22	0	-22	0	-22	0	-22
R13	3.664e-005	-24	0	-24	0	-24	0	-24	0	-24	0	-24	0	-24
R14	3.664e-005	-26	0	-26	0	-26	0	-26	0	-26	0	-26	0	-26
R15	3.664e-005	-28	0	-28	0	-28	0	-28	0	-28	0	-28	0	-28
R16	3.664e-005	-30	0	-30	0	-30	0	-30	0	-30	0	-30	0	-30
R17	3.664e-005	-32	0	-32	0	-32	0	-32	0	-32	0	-32	0	-32
R18	3.664e-005	-34	0	-34	0	-34	0	-34	0	-34	0	-34	0	-34
R19	3.664e-005	-36	0	-36	0	-36	0	-36	0	-36	0	-36	0	-36
R20	3.664e-005	-38	0	-38	0	-38	0	-38	0	-38	0	-38	0	-38
R21	3.664e-005	-40	0	-40	0	-40	0	-40	0	-40	0	-40	0	-40
R22	3.664e-005	-42	0	-42	0	-42	0	-42	0	-42	0	-42	0	-42
