R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R138	1.668e-006	-274	1.668e-006	-274	1.668e-006	-274	0.0606	-274	0.1505	-274	0.1679	-274	0.17	-274
R139	1.668e-006	-276	1.668e-006	-276	1.668e-006	-276	0.05474	-276	0.1494	-276	0.1676	-276	0.17	-276
R140	1.668e-006	-278	1.668e-006	-278	1.668e-006	-278	0.04829	-278	0.1482	-278	0.1673	-278	0.17	-278
R141	1.668e-006	-280	1.668e-006	-280	1.668e-006	-280	0.04259	-280	0.1471	-280	0.167	-280	0.17	-280
R142	1.668e-006	-282	1.668e-006	-282	1.668e-006	-282	0.03592	-282	0.1459	-282	0.1666	-282	0.17	-282
R143	1.668e-006	-284	1.668e-006	-284	1.668e-006	-284	0.02949	-284	0.1446	-284	0.1663	-284	0.17	-284
R144	1.668e-006	-286	1.668e-006	-286	1.668e-006	-286	0.02307	-286	0.1432	-286	0.1659	-286	0.17	-286
R145	1.668e-006	-288	1.668e-006	-288	1.668e-006	-288	0.01679	-288	0.1418	-288	0.1655	-288	0.17	-288
R146	1.668e-006	-290	1.668e-006	-290	1.668e-006	-290	0.01052	-290	0.1404	-290	0.1652	-290	0.17	-290
R147	1.668e-006	-292	1.668e-006	-292	1.668e-006	-292	0.005745	-292	0.1389	-292	0.1648	-292	0.17	-292
R148	1.668e-006	-294	1.668e-006	-294	1.668e-006	-294	0.001975	-294	0.1373	-294	0.1643	-294	0.17	-294
R149	1.668e-006	-296	1.668e-006	-296	1.668e-006	-296	0.0003055	-296	0.1356	-296	0.1639	-296	0.17	-296
R150	1.668e-006	-298	1.668e-006	-298	1.668e-006	-298	1.206e-005	-298	0.1339	-298	0.1635	-298	0.17	-298
R151	1.668e-006	-300	1.668e-006	-300	1.668e-006	-300	1.834e-006	-300	0.1321	-300	0.163	-300	0.17	-300
R152	1.668e-006	-302	1.668e-006	-302	1.668e-006	-302	1.669e-006	-302	0.1302	-302	0.1625	-302	0.17	-302
R153	1.668e-006	-304	1.668e-006	-304	1.668e-006	-304	1.668e-006	-304	0.1282	-304	0.162	-304	0.17	-304
R154	1.668e-006	-306	1.668e-006	-306	1.668e-006	-306	1.668e-006	-306	0.1261	-306	0.1615	-306	0.1699	-306
R155	1.668e-006	-308	1.668e-006	-308	1.668e-006	-308	1.668e-006	-308	0.1239	-308	0.161	-308	0.1698	-308
R156	1.668e-006	-310	1.668e-006	-310	1.668e-006	-310	1.668e-006	-310	0.1216	-310	0.1604	-310	0.1697	-310
R157	1.668e-006	-312	1.668e-006	-312	1.668e-006	-312	1.668e-006	-312	0.1192	-312	0.1598	-312	0.1695	-312
R158	1.668e-006	-314	1.668e-006	-314	1.668e-006	-314	1.668e-006	-314	0.1167	-314	0.1592	-314	0.1694	-314
R159	1.668e-006	-316	1.668e-006	-316	1.668e-006	-316	1.668e-006	-316	0.114	-316	0.1586	-316	0.1692	-316
R160	1.668e-006	-318	1.668e-006	-318	1.668e-006	-318	1.668e-006	-318	0.1113	-318	0.1579	-318	0.169	-318
R161	1.668e-006	-320	1.668e-006	-320	1.668e-006	-320	1.668e-006	-320	0.1084	-320	0.1572	-320	0.1688	-320
R162	1.668e-006	-322	1.668e-006	-322	1.668e-006	-322	1.668e-006	-322	0.1053	-322	0.1565	-322	0.1686	-322
R163	1.668e-006	-324	1.668e-006	-324	1.668e-006	-324	1.668e-006	-324	0.102	-324	0.1558	-324	0.1684	-324
R164	1.668e-006	-326	1.668e-006	-326	1.668e-006	-326	1.668e-006	-326	0.09863	-326	0.1551	-326	0.1682	-326
R165	1.668e-006	-328	1.668e-006	-328	1.668e-006	-328	1.668e-006	-328	0.0951	-328	0.1543	-328	0.1679	-328
R166	1.668e-006	-330	1.668e-006	-330	1.668e-006	-330	1.668e-006	-330	0.09131	-330	0.1535	-330	0.1677	-330
R167	1.668e-006	-332	1.668e-006	-332	1.668e-006	-332	1.668e-006	-332	0.08723	-332	0.1526	-332	0.1674	-332
R168	1.668e-006	-334	1.668e-006	-334	1.668e-006	-334	1.668e-006	-334	0.08309	-334	0.1517	-334	0.1672	-334
R169	1.668e-006	-336	1.668e-006	-336	1.668e-006	-336	1.668e-006	-336	0.07884	-336	0.1508	-336	0.1669	-336
R170	1.668e-006	-338	1.668e-006	-338	1.668e-006	-338	1.668e-006	-338	0.07422	-338	0.1499	-338	0.1666	-338
R171	1.668e-006	-340	1.668e-006	-340	1.668e-006	-340	1.668e-006	-340	0.06914	-340	0.1489	-340	0.1663	-340
R172	1.668e-006	-342	1.668e-006	-342	1.668e-006	-342	1.668e-006	-342	0.06419	-342	0.1478	-342	0.166	-342
R173	1.668e-006	-344	1.668e-006	-344	1.668e-006	-344	1.668e-006	-344	0.05908	-344	0.1468	-344	0.1657	-344
R174	1.668e-006	-346	1.668e-006	-346	1.668e-006	-346	1.668e-006	-346	0.05335	-346	0.1457	-346	0.1654	-346
R175	1.668e-006	-348	1.668e-006	-348	1.668e-006	-348	1.668e-006	-348	0.04738	-348	0.1445	-348	0.1651	-348
R176	1.668e-006	-350	1.668e-006	-350	1.668e-006	-350	1.668e-006	-350	0.04185	-350	0.1433	-350	0.1647	-350
R177	1.668e-006	-352	1.668e-006	-352	1.668e-006	-352	1.668e-006	-352	0.03538	-352	0.142	-352	0.1643	-352
R178	1.668e-006	-354	1.668e-006	-354	1.668e-006	-354	1.668e-006	-354	0.02932	-354	0.1407	-354	0.1639	-354
R179	1.668e-006	-356	1.668e-006	-356	1.668e-006	-356	1.668e-006	-356	0.02318	-356	0.1393	-356	0.1636	-356
R180	1.668e-006	-358	1.668e-006	-358	1.668e-006	-358	1.668e-006	-358	0.01707	-358	0.1379	-358	0.1632	-358
R181	1.668e-006	-360	1.668e-006	-360	1.668e-006	-360	1.668e-006	-360	0.01111	-360	0.1364	-360	0.1627	-360
R182	1.668e-006	-362	1.668e-006	-362	1.668e-006	-362	1.668e-006	-362	0.006348	-362	0.1348	-362	0.1623	-362
R183	1.668e-006	-364	1.668e-006	-364	1.668e-006	-364	1.668e-006	-364	0.002476	-364	0.1332	-364	0.1618	-364
R184	1.668e-006	-366	1.668e-006	-366	1.668e-006	-366	1.668e-006	-366	0.0005019	-366	0.1315	-366	0.1614	-366
R185	1.668e-006	-368	1.668e-006	-368	1.668e-006	-368	1.668e-006	-368	2.666e-005	-368	0.1297	-368	0.1609	-368
R186	1.668e-006	-370	1.668e-006	-370	1.668e-006	-370	1.668e-006	-370	2.086e-006	-370	0.1278	-370	0.1604	-370
R187	1.668e-006	-372	1.668e-006	-372	1.668e-006	-372	1.668e-006	-372	1.672e-006	-372	0.1259	-372	0.1599	-372
R188	1.668e-006	-374	1.668e-006	-374	1.668e-006	-374	1.668e-006	-374	1.668e-006	-374	0.1238	-374	0.1593	-374
R189	1.668e-006	-376	1.668e-006	-376	1.668e-006	-376	1.668e-006	-376	1.668e-006	-376	0.1217	-376	0.1588	-376
R190	1.668e-006	-378	1.668e-006	-378	1.668e-006	-378	1.668e-006	-378	1.668e-006	-378	0.1194	-378	0.1582	-378
R191	1.668e-006	-380	1.668e-006	-380	1.668e-006	-380	1.668e-006	-380	1.668e-006	-380	0.117	-380	0.1576	-380
R192	1.668e-006	-382	1.668e-006	-382	1.668e-006	-382	1.668e-006	-382	1.668e-006	-382	0.1146	-382	0.157	-382
R193	1.668e-006	-384	1.668e-006	-384	1.668e-006	-384	1.668e-006	-384	1.668e-006	-384	0.112	-384	0.1563	-384
R194	1.668e-006	-386	1.668e-006	-386	1.668e-006	-386	1.668e-006	-386	1.668e-006	-386	0.1093	-386	0.1557	-386
R195	1.668e-006	-388	1.668e-006	-388	1.668e-006	-388	1.668e-006	-388	1.668e-006	-388	0.1064	-388	0.155	-388
R196	1.668e-006	-390	1.668e-006	-390	1.668e-006	-390	1.668e-006	-390	1.668e-006	-390	0.1033	-390	0.1543	-390
R197	1.668e-006	-392	1.668e-006	-392	1.668e-006	-392	1.668e-006	-392	1.668e-006	-392	0.1002	-392	0.1535	-392
R198	1.668e-006	-394	1.668e-006	-394	1.668e-006	-394	1.668e-006	-394	1.668e-006	-394	0.0969	-394	0.1527	-394
R199	1.668e-006	-396	1.668e-006	-396	1.668e-006	-396	1.668e-006	-396	1.668e-006	-396	0.09342	-396	0.152	-396
R200	1.668e-006	-398	1.668e-006	-398	1.668e-006	-398	1.668e-006	-398	1.668e-006	-398	0.08969	-398	0.1511	-398
R201	1.668e-006	-400	1.668e-006	-400	1.668e-006	-400	1.668e-006	-400	1.668e-006	-400	0.08566	-400	0.1503	-400
R202	1.668e-006	-402	1.668e-006	-402	1.668e-006	-402	1.668e-006	-402	1.668e-006	-402	0.08176	-402	0.1494	-402
R203	1.668e-006	-404	1.668e-006	-404	1.668e-006	-404	1.668e-006	-404	1.668e-006	-404	0.07759	-404	0.1484	-404
R204	1.668e-006	-406	1.668e-006	-406	1.668e-006	-406	1.668e-006	-406	1.668e-006	-406	0.07304	-406	0.1474	-406
R205	1.668e-006	-408	1.668e-006	-408	1.668e-006	-408	1.668e-006	-408	1.668e-006	-408	0.06803	-408	0.1464	-408
R206	1.668e-006	-410	1.668e-006	-410	1.668e-006	-410	1.668e-006	-410	1.668e-006	-410	0.06336	-410	0.1454	-410
R207	1.668e-006	-412	1.668e-006	-412	1.668e-006	-412	1.668e-006	-412	1.668e-006	-412	0.05835	-412	0.1443	-412
R208	1.668e-006	-414	1.668e-006	-414	1.668e-006	-414	1.668e-006	-414	1.668e-006	-414	0.05273	-414	0.1432	-414
R209	1.668e-006	-416	1.668e-006	-416	1.668e-006	-416	1.668e-006	-416	1.668e-006	-416	0.04703	-416	0.142	-416
R210	1.668e-006	-418	1.668e-006	-418	1.668e-006	-418	1.668e-006	-418	1.668e-006	-418	0.04162	-418	0.1407	-418
R211	1.668e-006	-420	1.668e-006	-420	1.668e-006	-420	1.668e-006	-420	1.668e-006	-420	0.03532	-420	0.1394	-420
R212	1.668e-006	-422	1.668e-006	-422	1.668e-006	-422	1.668e-006	-422	1.668e-006	-422	0.02943	-422	0.1381	-422
R213	1.668e-006	-424	1.668e-006	-424	1.668e-006	-424	1.668e-006	-424	1.668e-006	-424	0.0235	-424	0.1367	-424
R214	1.668e-006	-426	1.668e-006	-426	1.668e-006	-426	1.668e-006	-426	1.668e-006	-426	0.01741	-426	0.1353	-426
R215	1.668e-006	-428	1.668e-006	-428	1.668e-006	-428	1.668e-006	-428	1.668e-006	-428	0.01173	-428	0.1337	-428
R216	1.668e-006	-430	1.668e-006	-430	1.668e-006	-430	1.668e-006	-430	1.668e-006	-430	0.00695	-430	0.1321	-430
R217	1.668e-006	-432	1.668e-006	-432	1.668e-006	-432	1.668e-006	-432	1.668e-006	-432	0.003029	-432	0.1305	-432
R218	1.668e-006	-434	1.668e-006	-434	1.668e-006	-434	1.668e-006	-434	1.668e-006	-434	0.0006926	-434	0.1287	-434
R219	1.668e-006	-436	1.668e-006	-436	1.668e-006	-436	1.668e-006	-436	1.668e-006	-436	4.96e-005	-436	0.1269	-436
R220	1.668e-006	-438	1.668e-006	-438	1.668e-006	-438	1.668e-006	-438	1.668e-006	-438	2.56e-006	-438	0.125	-438
R221	1.668e-006	-440	1.668e-006	-440	1.668e-006	-440	1.668e-006	-440	1.668e-006	-440	1.678e-006	-440	0.123	-440
R222	1.668e-006	-442	1.668e-006	-442	1.668e-006	-442	1.668e-006	-442	1.668e-006	-442	1.668e-006	-442	0.1209	-442
R223	1.668e-006	-444	1.668e-006	-444	1.668e-006	-444	1.668e-006	-444	1.668e-006	-444	1.668e-006	-444	0.1188	-444
R224	1.668e-006	-446	1.668e-006	-446	1.668e-006	-446	1.668e-006	-446	1.668e-006	-446	1.668e-006	-446	0.1165	-446
