R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R62	-800	-122	-55.162	-122	-3.935	-122	5.2	-122	9.969	-122	12.934	-122	14.951	-122
R63	-800	-124	-60.227	-124	-4.479	-124	4.875	-124	9.723	-124	12.737	-124	14.786	-124
R64	-800	-126	-66.158	-126	-5.035	-126	4.551	-126	9.476	-126	12.539	-126	14.622	-126
R65	-800	-128	-73.214	-128	-5.605	-128	4.226	-128	9.23	-128	12.341	-128	14.457	-128
R66	-800	-130	-81.892	-130	-6.19	-130	3.902	-130	8.984	-130	12.143	-130	14.292	-130
R67	-800	-132	-93.04	-132	-6.79	-132	3.577	-132	8.737	-132	11.945	-132	14.127	-132
R68	-800	-134	-107.963	-134	-7.407	-134	3.253	-134	8.491	-134	11.748	-134	13.963	-134
R69	-800	-136	-130.119	-136	-8.042	-136	2.928	-136	8.244	-136	11.55	-136	13.798	-136
R70	-800	-138	-168.451	-138	-8.695	-138	2.603	-138	7.998	-138	11.352	-138	13.633	-138
R71	-800	-140	-250.165	-140	-9.369	-140	2.279	-140	7.752	-140	11.154	-140	13.468	-140
R72	-800	-142	-475.787	-142	-10.063	-142	1.954	-142	7.505	-142	10.956	-142	13.304	-142
R73	-800	-144	-781.579	-144	-10.78	-144	1.63	-144	7.259	-144	10.759	-144	13.139	-144
R74	-800	-146	-799.862	-146	-11.522	-146	1.305	-146	7.012	-146	10.561	-146	12.974	-146
R75	-800	-148	-799.999	-148	-12.289	-148	0.98	-148	6.766	-148	10.363	-148	12.809	-148
R76	-800	-150	-800	-150	-13.083	-150	0.656	-150	6.52	-150	10.165	-150	12.645	-150
R77	-800	-152	-800	-152	-13.907	-152	0.331	-152	6.273	-152	9.967	-152	12.48	-152
R78	-800	-154	-800	-154	-14.762	-154	0.007	-154	6.027	-154	9.77	-154	12.315	-154
R79	-800	-156	-800	-156	-15.651	-156	-0.319	-156	5.78	-156	9.572	-156	12.151	-156
R80	-800	-158	-800	-158	-16.575	-158	-0.648	-158	5.534	-158	9.374	-158	11.986	-158
R81	-800	-160	-800	-160	-17.539	-160	-0.98	-160	5.288	-160	9.176	-160	11.821	-160
R82	-800	-162	-800	-162	-18.545	-162	-1.318	-162	5.041	-162	8.979	-162	11.656	-162
R83	-800	-164	-800	-164	-19.595	-164	-1.66	-164	4.795	-164	8.781	-164	11.492	-164
R84	-800	-166	-800	-166	-20.695	-166	-2.007	-166	4.548	-166	8.583	-166	11.327	-166
R85	-800	-168	-800	-168	-21.847	-168	-2.361	-168	4.302	-168	8.385	-168	11.162	-168
R86	-800	-170	-800	-170	-23.057	-170	-2.721	-170	4.056	-170	8.187	-170	10.997	-170
R87	-800	-172	-800	-172	-24.329	-172	-3.087	-172	3.809	-172	7.99	-172	10.833	-172
R88	-800	-174	-800	-174	-25.669	-174	-3.461	-174	3.563	-174	7.792	-174	10.668	-174
R89	-800	-176	-800	-176	-27.084	-176	-3.842	-176	3.316	-176	7.594	-176	10.503	-176
R90	-800	-178	-800	-178	-28.583	-178	-4.232	-178	3.07	-178	7.396	-178	10.338	-178
R91	-800	-180	-800	-180	-30.172	-180	-4.629	-180	2.823	-180	7.198	-180	10.174	-180
R92	-800	-182	-800	-182	-31.861	-182	-5.036	-182	2.577	-182	7.001	-182	10.009	-182
R93	-800	-184	-800	-184	-33.664	-184	-5.453	-184	2.331	-184	6.803	-184	9.844	-184
R94	-800	-186	-800	-186	-35.597	-186	-5.879	-186	2.084	-186	6.605	-186	9.679	-186
R95	-800	-188	-800	-188	-37.67	-188	-6.315	-188	1.838	-188	6.407	-188	9.515	-188
R96	-800	-190	-800	-190	-39.903	-190	-6.763	-190	1.591	-190	6.209	-190	9.35	-190
R97	-800	-192	-800	-192	-42.328	-192	-7.222	-192	1.345	-192	6.012	-192	9.185	-192
R98	-800	-194	-800	-194	-44.972	-194	-7.694	-194	1.099	-194	5.814	-194	9.021	-194
R99	-800	-196	-800	-196	-47.862	-196	-8.178	-196	0.852	-196	5.616	-196	8.856	-196
R100	-800	-198	-800	-198	-51.049	-198	-8.676	-198	0.606	-198	5.418	-198	8.691	-198
R101	-800	-200	-800	-200	-54.606	-200	-9.188	-200	0.359	-200	5.22	-200	8.526	-200
R102	-800	-202	-800	-202	-58.585	-202	-9.715	-202	0.113	-202	5.023	-202	8.362	-202
R103	-800	-204	-800	-204	-63.096	-204	-10.258	-204	-0.134	-204	4.825	-204	8.197	-204
R104	-800	-206	-800	-206	-68.309	-206	-10.818	-206	-0.382	-206	4.627	-206	8.032	-206
R105	-800	-208	-800	-208	-74.382	-208	-11.395	-208	-0.633	-208	4.429	-208	7.867	-208
R106	-800	-210	-800	-210	-81.699	-210	-11.991	-210	-0.886	-210	4.231	-210	7.703	-210
R107	-800	-212	-800	-212	-90.725	-212	-12.607	-212	-1.143	-212	4.034	-212	7.538	-212
R108	-800	-214	-800	-214	-102.277	-214	-13.244	-214	-1.403	-214	3.836	-214	7.373	-214
R109	-800	-216	-800	-216	-118.357	-216	-13.903	-216	-1.667	-216	3.638	-216	7.208	-216
