Time (s),SH (m)
103260,0.0562
103320,0.0742
103380,0.0808
103440,0.0866
103500,0.0906
103560,0.0944
103620,0.0979
103680,0.1012
103740,0.1055
103800,0.1092
103860,0.1136
103920,0.1179
103980,0.1227
104040,0.1276
104100,0.1327
104160,0.1406
104220,0.1494
104280,0.1562
104340,0.1638
104400,0.1701
104460,0.1762
104520,0.1821
104580,0.1873
104640,0.2039
104700,0.2092
104760,0.233
104820,0.2359
104880,0.2414
104940,0.2467
105000,0.2524
105060,0.2579
105120,0.2611
105180,0.2622
105240,0.2633
105300,0.2638
105360,0.2645
105420,0.2651
105480,0.2651
105540,0.2654
105600,0.2659
105660,0.2659
105720,0.2662
105780,0.2663
105840,0.2666
105900,0.2667
105960,0.2669
106020,0.2669
106080,0.2673
106140,0.267
106200,0.2674
106260,0.2675
106320,0.2677
106380,0.2677
106440,0.2677
106500,0.2674
106560,0.2623
106620,0.2601
106680,0.2579
106740,0.2561
106800,0.2542
106860,0.2522
106920,0.2499
106980,0.2482
107040,0.2463
107100,0.2446
107160,0.2424
107220,0.2407
107280,0.2387
107340,0.2368
107400,0.2351
107460,0.2332
107520,0.2315
107580,0.2295
107640,0.2274
107700,0.2255
107760,0.2241
107820,0.2224
107880,0.2205
107940,0.2187
108000,0.2172
108060,0.2155
108120,0.2137
108180,0.212
108240,0.2093
108300,0.2081
108360,0.206
108420,0.204
108480,0.2025
108540,0.2008
108600,0.1994
108660,0.1974
108720,0.1958
108780,0.1941
108840,0.192
108900,0.1905
108960,0.1886
109020,0.1868
109080,0.1849
109140,0.1829
109200,0.1816
109260,0.1801
109320,0.1782
109380,0.1765
109440,0.1748
109500,0.1731
109560,0.1715
109620,0.1702
109680,0.1683
109740,0.1665
109800,0.1653
109860,0.1638
109920,0.1626
109980,0.161
110040,0.1597
110100,0.1581
110160,0.1566
110220,0.155
110280,0.1535
110340,0.1522
110400,0.1505
110460,0.1486
110520,0.1466
110580,0.1452
110640,0.1435
110700,0.1416
110760,0.1395
110820,0.1374
110880,0.1355
110940,0.1332
111000,0.1315
111060,0.1296
111120,0.1278
111180,0.1263
111240,0.1248
111300,0.1238
111360,0.1222
111420,0.1206
111480,0.1192
111540,0.1177
111600,0.1164
111660,0.1148
111720,0.1132
111780,0.1027
111840,0.0673
111900,0.0519
111960,0.005
