Time (s),SH (m)
65400,0.0219
65460,0.07
65520,0.081
65580,0.0866
65640,0.0906
65700,0.0936
65760,0.0967
65820,0.0993
65880,0.1033
65940,0.1068
66000,0.1107
66060,0.1143
66120,0.1189
66180,0.1239
66240,0.1291
66300,0.1378
66360,0.1458
66420,0.1522
66480,0.1597
66540,0.1665
66600,0.1727
66660,0.1788
66720,0.1842
66780,0.19
66840,0.195
66900,0.2008
66960,0.2065
67020,0.2123
67080,0.2175
67140,0.2229
67200,0.2282
67260,0.2339
67320,0.2394
67380,0.2451
67440,0.2507
67500,0.2563
67560,0.2619
67620,0.265
67680,0.2657
67740,0.2665
67800,0.2669
67860,0.2667
67920,0.2671
67980,0.2669
68040,0.2669
68100,0.2669
68160,0.267
68220,0.2671
68280,0.2674
68340,0.2669
68400,0.2669
68460,0.2671
68520,0.2671
68580,0.267
68640,0.2671
68700,0.267
68760,0.2669
68820,0.2669
68880,0.2667
68940,0.2666
69000,0.2635
69060,0.2602
69120,0.2578
69180,0.2558
69240,0.2534
69300,0.2514
69360,0.2495
69420,0.2476
69480,0.2454
69540,0.2431
69600,0.2411
69660,0.239
69720,0.2371
69780,0.2347
69840,0.2335
69900,0.2311
69960,0.2288
70020,0.2267
70080,0.2249
70140,0.2232
70200,0.2209
70260,0.2192
70320,0.2173
70380,0.2155
70440,0.2133
70500,0.2117
70560,0.2096
70620,0.2079
70680,0.2059
70740,0.2036
70800,0.2024
70860,0.2007
70920,0.1985
70980,0.1968
71040,0.1952
71100,0.1928
71160,0.1914
71220,0.1897
71280,0.1877
71340,0.1856
71400,0.1836
71460,0.1813
71520,0.1789
71580,0.1774
71640,0.1758
71700,0.1738
71760,0.1721
71820,0.1703
71880,0.1683
71940,0.1665
72000,0.1642
72060,0.1618
72120,0.1602
72180,0.1586
72240,0.1571
72300,0.155
72360,0.1533
72420,0.1513
72480,0.1497
72540,0.1478
72600,0.146
72660,0.1443
72720,0.1426
72780,0.1407
72840,0.139
72900,0.1374
72960,0.1354
73020,0.1334
73080,0.1315
73140,0.1296
73200,0.1278
73260,0.1259
73320,0.1238
73380,0.1219
73440,0.1199
73500,0.118
73560,0.1159
73620,0.1139
73680,0.112
73740,0.1097
73800,0.1077
73860,0.1055
73920,0.1035
73980,0.1012
74040,0.0989
74100,0.0968
74160,0.0948
74220,0.0922
74280,0.0861
74340,0.0457
74400,0.0296
74460,0.0168
74520,0.01
74580,0.0053
