Time (s),SH (m)
2460,0.0239
2520,0.0459
2580,0.0493
2640,0.0462
2700,0.0461
2760,0.0483
2820,0.0543
2880,0.0593
2940,0.065
3000,0.0717
3060,0.0772
3120,0.0828
3180,0.0882
3240,0.093
3300,0.0973
3360,0.1023
3420,0.1071
3480,0.112
3540,0.1164
3600,0.1214
3660,0.126
3720,0.1308
3780,0.135
3840,0.1395
3900,0.1438
3960,0.1482
4020,0.1531
4080,0.1573
4140,0.1615
4200,0.1665
4260,0.171
4320,0.1753
4380,0.1801
4440,0.1842
4500,0.1888
4560,0.1936
4620,0.1974
4680,0.2024
4740,0.2069
4800,0.2115
4860,0.2176
4920,0.2213
4980,0.2263
5040,0.2311
5100,0.2363
5160,0.2414
5220,0.2463
5280,0.2514
5340,0.2557
5400,0.2554
5460,0.2545
5520,0.257
5580,0.2587
5640,0.2593
5700,0.2593
5760,0.2595
5820,0.2598
5880,0.2594
5940,0.2601
6000,0.2578
6060,0.2537
6120,0.2508
6180,0.2479
6240,0.2451
6300,0.2426
6360,0.24
6420,0.2372
6480,0.2347
6540,0.2316
6600,0.2292
6660,0.2265
6720,0.2243
6780,0.2216
6840,0.2188
6900,0.2164
6960,0.2136
7020,0.2111
7080,0.2089
7140,0.2063
7200,0.2041
7260,0.202
7320,0.1998
7380,0.1976
7440,0.1948
7500,0.1928
7560,0.1897
7620,0.1868
7680,0.1848
7740,0.1829
7800,0.1805
7860,0.1782
7920,0.1756
7980,0.1727
8040,0.1701
8100,0.1678
8160,0.1655
8220,0.163
8280,0.1609
8340,0.1583
8400,0.1566
8460,0.1545
8520,0.1521
8580,0.1507
8640,0.1485
8700,0.1462
8760,0.1444
8820,0.143
8880,0.1407
8940,0.1388
9000,0.1372
9060,0.1354
9120,0.1339
9180,0.1316
9240,0.1299
9300,0.1282
9360,0.1262
9420,0.1246
9480,0.1226
9540,0.1211
9600,0.1191
9660,0.1172
9720,0.1152
9780,0.1136
9840,0.1116
9900,0.1096
9960,0.0866
10020,0.0591
10080,0.0446
10140,0.0363
10200,0.0308
10260,0.027
10320,0.0056
