Time (s),SH (m)
40260,0.0359
40320,0.069
40380,0.078
40440,0.079
40500,0.0789
40560,0.0806
40620,0.0829
40680,0.0866
40740,0.0901
40800,0.0948
40860,0.0997
40920,0.1053
40980,0.1152
41040,0.1227
41100,0.1304
41160,0.1376
41220,0.1439
41280,0.1493
41340,0.1546
41400,0.1605
41460,0.1658
41520,0.1711
41580,0.177
41640,0.1826
41700,0.1882
41760,0.1938
41820,0.1994
41880,0.2053
41940,0.2112
42000,0.2167
42060,0.2223
42120,0.2275
42180,0.234
42240,0.2392
42300,0.2452
42360,0.2512
42420,0.257
42480,0.2606
42540,0.2635
42600,0.2637
42660,0.2635
42720,0.263
42780,0.263
42840,0.2634
42900,0.2635
42960,0.2642
43020,0.2643
43080,0.2645
43140,0.2646
43200,0.2645
43260,0.2641
43320,0.2638
43380,0.2641
43440,0.2642
43500,0.2647
43560,0.2646
43620,0.2647
43680,0.2642
43740,0.2646
43800,0.2614
43860,0.2575
43920,0.2554
43980,0.2534
44040,0.2512
44100,0.2491
44160,0.247
44220,0.2451
44280,0.2428
44340,0.2407
44400,0.2391
44460,0.2368
44520,0.2352
44580,0.2331
44640,0.2308
44700,0.2288
44760,0.2268
44820,0.2247
44880,0.2228
44940,0.2205
45000,0.2188
45060,0.2167
45120,0.2148
45180,0.2129
45240,0.2109
45300,0.2091
45360,0.2072
45420,0.2052
45480,0.2033
45540,0.2009
45600,0.1993
45660,0.1974
45720,0.1957
45780,0.1934
45840,0.192
45900,0.19
45960,0.1882
46020,0.1858
46080,0.1844
46140,0.1825
46200,0.181
46260,0.1792
46320,0.1774
46380,0.1753
46440,0.174
46500,0.1721
46560,0.1699
46620,0.1681
46680,0.1654
46740,0.1633
46800,0.1617
46860,0.1599
46920,0.1582
46980,0.1565
47040,0.1551
47100,0.1518
47160,0.1499
47220,0.1486
47280,0.1464
47340,0.1446
47400,0.1427
47460,0.1412
47520,0.1392
47580,0.1376
47640,0.136
47700,0.134
47760,0.1323
47820,0.1306
47880,0.129
47940,0.1274
48000,0.1252
48060,0.1238
48120,0.1219
48180,0.1199
48240,0.118
48300,0.1159
48360,0.1137
48420,0.1113
48480,0.1087
48540,0.1064
48600,0.1047
48660,0.1024
48720,0.1005
48780,0.0983
48840,0.096
48900,0.0928
48960,0.0905
49020,0.0881
49080,0.0853
49140,0.0657
49200,0.0307
49260,0.015
49320,0.005
