Time (s),SH (m)
15060,0.0311
15120,0.0693
15180,0.0762
15240,0.0725
15300,0.0698
15360,0.0696
15420,0.0721
15480,0.0765
15540,0.0838
15600,0.0913
15660,0.0987
15720,0.1061
15780,0.1129
15840,0.1183
15900,0.1244
15960,0.1304
16020,0.136
16080,0.142
16140,0.1481
16200,0.1541
16260,0.1595
16320,0.1651
16380,0.1705
16440,0.1761
16500,0.1821
16560,0.1877
16620,0.1928
16680,0.1986
16740,0.2047
16800,0.2107
16860,0.2168
16920,0.2229
16980,0.229
17040,0.2347
17100,0.2406
17160,0.2468
17220,0.2531
17280,0.2577
17340,0.2562
17400,0.2557
17460,0.2545
17520,0.2555
17580,0.2583
17640,0.2615
17700,0.2643
17760,0.267
17820,0.2691
17880,0.2709
17940,0.2723
18000,0.2738
18060,0.2751
18120,0.2745
18180,0.2725
18240,0.2706
18300,0.2687
18360,0.2679
18420,0.2663
18480,0.2659
18540,0.2653
18600,0.2619
18660,0.2563
18720,0.2541
18780,0.2516
18840,0.2496
18900,0.2479
18960,0.2454
19020,0.2436
19080,0.242
19140,0.2399
19200,0.2378
19260,0.2359
19320,0.234
19380,0.2319
19440,0.2302
19500,0.2284
19560,0.2263
19620,0.2244
19680,0.2224
19740,0.2205
19800,0.2191
19860,0.2169
19920,0.2155
19980,0.2137
20040,0.2115
20100,0.21
20160,0.2081
20220,0.2065
20280,0.2047
20340,0.2027
20400,0.2008
20460,0.1993
20520,0.1974
20580,0.1957
20640,0.1941
20700,0.1924
20760,0.1912
20820,0.1888
20880,0.1872
20940,0.186
21000,0.184
21060,0.1824
21120,0.1809
21180,0.1792
21240,0.1781
21300,0.1758
21360,0.1748
21420,0.1731
21480,0.1714
21540,0.1701
21600,0.1685
21660,0.1666
21720,0.1651
21780,0.1633
21840,0.1621
21900,0.1606
21960,0.1591
22020,0.1574
22080,0.1555
22140,0.1534
22200,0.1519
22260,0.1493
22320,0.1475
22380,0.1459
22440,0.145
22500,0.1432
22560,0.1419
22620,0.1407
22680,0.1386
22740,0.1375
22800,0.1358
22860,0.1343
22920,0.1331
22980,0.1314
23040,0.1298
23100,0.1284
23160,0.1271
23220,0.1255
23280,0.1236
23340,0.122
23400,0.1202
23460,0.1193
23520,0.1156
23580,0.1136
23640,0.112
23700,0.11
23760,0.1081
23820,0.1064
23880,0.1047
23940,0.1025
24000,0.1008
24060,0.0988
24120,0.0972
24180,0.0948
24240,0.0925
24300,0.0898
24360,0.0873
24420,0.0838
24480,0.0523
24540,0.029
24600,0.0152
24660,0.005
