Time (s),SH (m)
78000,0.0215
78060,0.061
78120,0.0602
78180,0.0607
78240,0.0653
78300,0.07
78360,0.0754
78420,0.0822
78480,0.0918
78540,0.0984
78600,0.1056
78660,0.1127
78720,0.1195
78780,0.1252
78840,0.1312
78900,0.1374
78960,0.1427
79020,0.1489
79080,0.1543
79140,0.1603
79200,0.1654
79260,0.1711
79320,0.1765
79380,0.1818
79440,0.187
79500,0.1926
79560,0.1978
79620,0.2037
79680,0.2093
79740,0.2149
79800,0.2208
79860,0.2264
79920,0.2328
79980,0.2384
80040,0.2442
80100,0.2504
80160,0.2547
80220,0.2583
80280,0.2598
80340,0.2598
80400,0.2601
80460,0.2597
80520,0.2598
80580,0.2594
80640,0.2595
80700,0.2593
80760,0.2593
80820,0.2594
80880,0.2602
80940,0.2599
81000,0.2601
81060,0.2606
81120,0.2602
81180,0.2606
81240,0.2606
81300,0.2603
81360,0.2605
81420,0.2603
81480,0.2602
81540,0.2602
81600,0.2563
81660,0.2522
81720,0.2498
81780,0.2472
81840,0.2451
81900,0.2426
81960,0.2406
82020,0.2378
82080,0.2359
82140,0.2335
82200,0.2318
82260,0.2292
82320,0.2268
82380,0.2244
82440,0.2221
82500,0.2203
82560,0.2177
82620,0.216
82680,0.2139
82740,0.2115
82800,0.2092
82860,0.2071
82920,0.2052
82980,0.2027
83040,0.2007
83100,0.1986
83160,0.1961
83220,0.1941
83280,0.192
83340,0.1898
83400,0.1876
83460,0.1854
83520,0.1833
83580,0.1816
83640,0.1792
83700,0.1772
83760,0.1749
83820,0.1727
83880,0.1706
83940,0.1686
84000,0.1665
84060,0.1641
84120,0.1622
84180,0.1601
84240,0.1581
84300,0.1559
84360,0.1542
84420,0.1521
84480,0.1498
84540,0.1478
84600,0.1459
84660,0.1439
84720,0.1419
84780,0.1399
84840,0.1382
84900,0.1362
84960,0.1344
85020,0.1324
85080,0.1306
85140,0.1288
85200,0.1267
85260,0.125
85320,0.123
85380,0.1211
85440,0.1185
85500,0.1167
85560,0.1151
85620,0.1124
85680,0.1105
85740,0.1088
85800,0.1069
85860,0.1051
85920,0.1028
85980,0.1009
86040,0.0987
86100,0.0969
86160,0.0947
86220,0.093
86280,0.0909
86340,0.089
86400,0.0868
86460,0.0849
86520,0.0832
86580,0.0812
86640,0.0793
86700,0.0774
86760,0.0554
86820,0.0208
86880,0.0053
