Time (s),SH (m)
27660,0.0244
27720,0.0567
27780,0.0634
27840,0.0651
27900,0.0672
27960,0.0704
28020,0.0745
28080,0.0794
28140,0.0865
28200,0.0964
28260,0.1036
28320,0.1115
28380,0.1175
28440,0.1231
28500,0.1284
28560,0.134
28620,0.1395
28680,0.1452
28740,0.1507
28800,0.1563
28860,0.1619
28920,0.1673
28980,0.1736
29040,0.179
29100,0.1849
29160,0.1906
29220,0.1965
29280,0.2023
29340,0.2083
29400,0.2144
29460,0.22
29520,0.226
29580,0.2322
29640,0.2378
29700,0.2439
29760,0.2496
29820,0.255
29880,0.2582
29940,0.2606
30000,0.2606
30060,0.2606
30120,0.2607
30180,0.2605
30240,0.2605
30300,0.2605
30360,0.2607
30420,0.2609
30480,0.2609
30540,0.2609
30600,0.2611
30660,0.2611
30720,0.2614
30780,0.2614
30840,0.2617
30900,0.2617
30960,0.2618
31020,0.2619
31080,0.2621
31140,0.2619
31200,0.2593
31260,0.2545
31320,0.2524
31380,0.2503
31440,0.2482
31500,0.2463
31560,0.2442
31620,0.2416
31680,0.2399
31740,0.2374
31800,0.2356
31860,0.2336
31920,0.2318
31980,0.2296
32040,0.2274
32100,0.2256
32160,0.2236
32220,0.2217
32280,0.2196
32340,0.2175
32400,0.2159
32460,0.2139
32520,0.2121
32580,0.2099
32640,0.2079
32700,0.2063
32760,0.2044
32820,0.2023
32880,0.2005
32940,0.1989
33000,0.1966
33060,0.1948
33120,0.193
33180,0.1914
33240,0.189
33300,0.1872
33360,0.1852
33420,0.1834
33480,0.1816
33540,0.1798
33600,0.1782
33660,0.1764
33720,0.1749
33780,0.1733
33840,0.1715
33900,0.1695
33960,0.1673
34020,0.1659
34080,0.1639
34140,0.1622
34200,0.1603
34260,0.1589
34320,0.157
34380,0.1555
34440,0.1542
34500,0.1523
34560,0.1505
34620,0.1489
34680,0.147
34740,0.1451
34800,0.1435
34860,0.142
34920,0.1404
34980,0.1384
35040,0.137
35100,0.1354
35160,0.1336
35220,0.1316
35280,0.1304
35340,0.1275
35400,0.1262
35460,0.1239
35520,0.1227
35580,0.1212
35640,0.1195
35700,0.1177
35760,0.116
35820,0.1145
35880,0.1132
35940,0.1115
36000,0.1096
36060,0.1076
36120,0.1059
36180,0.1047
36240,0.1027
36300,0.1008
36360,0.0993
36420,0.0973
36480,0.0959
36540,0.0932
36600,0.0914
36660,0.0885
36720,0.0862
36780,0.0834
36840,0.0789
36900,0.0336
36960,0.0162
